id,submission_time,view_number,vote_number,title,message,image
0,1493368154,29,7,How to make lists in Python?,"I am totally new to this, any hints?",
1,1493068124,15,9,Wordpress loading multiple jQuery Versions,"I developed a plugin that uses the jquery booklet plugin (http://builtbywill.com/booklet/#/) this plugin binds a function to $ so I cann call $('.myBook').booklet();

I could easy managing the loading order with wp_enqueue_script so first I load jquery then I load booklet so everything is fine.

BUT in my theme i also using jquery via webpack so the loading order is now following:

jquery
booklet
app.js (bundled file with webpack, including jquery)",images/image1.png
2,1493015432,1364,57,Drawing canvas with an image picked with Cordova Camera Plugin,"I'm getting an image from device and drawing a canvas with filters using Pixi JS. It works all well using computer to get an image. But when I'm on IOS, it throws errors such as cross origin issue, or that I'm trying to use an unknown format.

This is the code I'm using to draw the image (that works on web/desktop but not cordova built ios app)",
0c59a5ff-15e3-4a1c-b075-c0fdb8ec9d76,1557934737,0,-1,Test title,Test message,
20153e39-ff4f-44e4-9fa1-99fdf6e15a75,1558004919,0,0,Datetime test,testing,
3777983e-cda4-48aa-873f-9abd45b3d08a,1558015562,0,2,asfgasgsad,Please write the message here ,
e6b4dece-c84b-4467-bf56-ee49e4792430,1558087613,0,4,i really need to know,who will die in the got finale?,
611b9f81-cafb-418a-9ed0-d22463b9cee9,1558087646,0,31,Why are you guys so cool?,"Hey guys its me, im sitting right in front of you! Love the page <3 Alex",
1e00f92c-3094-403a-a979-85894f572d5c,1558087658,0,18,Have a nice Demo! -Mark,I hope that you were able to learn a lot on this week and on the following weeks as well!,
637aa75f-6622-4af3-a6ed-de583c0b3e5f,1558087743,0,49,what is love,"baby don't hurt me
don't hurt me
oh no",
974c45d0-2bb8-4b2c-862c-a94ee4c75ac1,1558087757,0,0,What's the meaning of life?,Hint: it's between 41 and 43,
442c4d7f-e375-4b59-a068-fa31122cf972,1558098359,0,0,Why Jon Snow is a jerk?,"""puding",
cdb311a6-ab60-422c-bc65-911f4d4879b2,1558098398,0,0,garw,'ghjk,
